gender,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status,loan_to_income_ratio,asset_to_loan_ratio
Male,0.4,Graduate,No,0.9690721649484536,0.7551020408163265,0.5555555555555556,0.7966666666666669,0.5570321151716501,Approved,0.6460000000000001,0.19239373601789708
Female,0.0,Not Graduate,Yes,0.4020618556701031,0.3035714285714286,0.3333333333333333,0.19500000000000006,0.18383167220376526,Rejected,0.5904,0.13077079520032545
Male,0.6000000000000001,Graduate,No,0.9175257731958762,0.75,1.0,0.3433333333333334,0.6345514950166113,Approved,0.7056,0.24262761846654465
Male,0.6000000000000001,Graduate,No,0.8247422680412371,0.7755102040816326,0.3333333333333333,0.27833333333333343,0.5791805094130676,Approved,0.8976000000000002,0.19666463290624367
Male,1.0,Not Graduate,Yes,0.9896907216494845,0.6096938775510203,1.0,0.13666666666666671,0.6046511627906977,Rejected,0.38759999999999994,0.30974171242627624
Female,0.0,Graduate,Yes,0.4742268041237114,0.33673469387755106,0.4444444444444445,0.03166666666666673,0.3709856035437431,Approved,0.5247999999999999,0.3581452104942038
Male,1.0,Graduate,No,0.8762886597938144,0.8341836734693877,0.1111111111111111,0.6300000000000001,0.7796234772978959,Approved,0.9172,0.28370957901159244
Male,0.4,Graduate,Yes,0.5670103092783505,0.375,1.0,0.13666666666666671,0.4019933554817276,Approved,0.4528000000000001,0.345129143786862
Male,0.0,Graduate,Yes,0.061855670103092786,0.04846938775510204,1.0,0.8033333333333335,0.05647840531561463,Approved,0.5,0.35590807402887936
Female,1.0,Not Graduate,No,0.09278350515463918,0.10204081632653061,0.4444444444444445,0.14666666666666672,0.10077519379844961,Rejected,0.9636,0.29672564571893434
Male,0.8,Graduate,Yes,0.27835051546391754,0.2780612244897959,0.0,0.41166666666666674,0.27685492801771877,Rejected,0.9448000000000001,0.3087248322147651
Male,0.4,Not Graduate,Yes,0.6701030927835051,0.5714285714285714,0.8888888888888888,0.3966666666666667,0.5260243632336656,Approved,0.7551999999999999,0.2765914175310148
Male,0.6000000000000001,Not Graduate,Yes,0.49484536082474223,0.288265306122449,0.7777777777777777,0.018333333333333313,0.3820598006644519,Rejected,0.32799999999999985,0.4594264795607077
Male,0.4,Graduate,Yes,0.9175257731958762,0.7959183673469388,0.6666666666666665,0.6316666666666668,0.5858250276854928,Approved,0.7848000000000002,0.19158023184868825
Female,0.2,Not Graduate,No,0.17525773195876287,0.18112244897959182,0.2222222222222222,0.28166666666666673,0.11627906976744187,Rejected,0.958,0.1470408785845028
Male,1.0,Not Graduate,No,0.4639175257731959,0.2653061224489796,0.4444444444444445,0.8233333333333335,0.3322259136212625,Rejected,0.31079999999999997,0.42525930445393534
